# EDV4985 / 9E4985 / DL4985  17 Jul 2025  JFK-CVG representative path
# Times are UTC. NTSB turbulence encounter: 10:53 EDT (14:53Z) at ~18,000 ft on descent (DCA25LA272).
time,lat,lon,alt_ft
2025-07-17T14:22:00Z,40.36370,-80.16430,34000
2025-07-17T14:22:30Z,40.35475,-80.22261,34000
2025-07-17T14:23:00Z,40.34577,-80.28090,34000
2025-07-17T14:23:30Z,40.33676,-80.33918,34000
2025-07-17T14:24:00Z,40.32772,-80.39744,34000
2025-07-17T14:24:30Z,40.31866,-80.45568,34000
2025-07-17T14:25:00Z,40.30956,-80.51391,34000
2025-07-17T14:25:30Z,40.30044,-80.57212,34000
2025-07-17T14:26:00Z,40.29128,-80.63032,34000
2025-07-17T14:26:30Z,40.28210,-80.68850,34000
2025-07-17T14:27:00Z,40.27289,-80.74667,34000
2025-07-17T14:27:30Z,40.26364,-80.80482,34000
2025-07-17T14:28:00Z,40.25437,-80.86296,34000
2025-07-17T14:28:30Z,40.24507,-80.92107,34000
2025-07-17T14:29:00Z,40.23574,-80.97918,34000
2025-07-17T14:29:30Z,40.22639,-81.03726,34000
2025-07-17T14:30:00Z,40.21700,-81.09533,34000
2025-07-17T14:30:30Z,40.20758,-81.15339,34000
2025-07-17T14:31:00Z,40.19684,-81.21093,34000
2025-07-17T14:31:30Z,40.18079,-81.26641,34000
2025-07-17T14:32:00Z,40.16472,-81.32187,34000
2025-07-17T14:32:30Z,40.14862,-81.37730,34000
2025-07-17T14:33:00Z,40.13249,-81.43271,34000
2025-07-17T14:33:30Z,40.11633,-81.48809,34000
2025-07-17T14:34:00Z,40.10015,-81.54344,34000
2025-07-17T14:34:30Z,40.08394,-81.59877,34000
2025-07-17T14:35:00Z,40.06771,-81.65407,34000
2025-07-17T14:35:30Z,40.05145,-81.70934,34000
2025-07-17T14:36:00Z,40.03516,-81.76459,34000
2025-07-17T14:36:30Z,40.01885,-81.81981,34000
2025-07-17T14:37:00Z,40.00251,-81.87500,34000
2025-07-17T14:37:30Z,39.98614,-81.93017,34000
2025-07-17T14:38:00Z,39.96975,-81.98531,34000
2025-07-17T14:38:30Z,39.95333,-82.04043,34000
2025-07-17T14:39:00Z,39.93689,-82.09552,34000
2025-07-17T14:39:30Z,39.92042,-82.15058,34000
2025-07-17T14:40:00Z,39.90392,-82.20561,34000
2025-07-17T14:40:30Z,39.88740,-82.26062,34000
2025-07-17T14:41:00Z,39.87085,-82.31561,34000
2025-07-17T14:41:30Z,39.85428,-82.37056,34000
2025-07-17T14:42:00Z,39.83768,-82.42549,34000
2025-07-17T14:42:30Z,39.82106,-82.48039,34000
2025-07-17T14:43:00Z,39.80440,-82.53527,34000
2025-07-17T14:43:30Z,39.78773,-82.59012,34000
2025-07-17T14:44:00Z,39.77102,-82.64494,34000
2025-07-17T14:44:30Z,39.75429,-82.69974,34000
2025-07-17T14:45:00Z,39.73754,-82.75451,34000
2025-07-17T14:45:30Z,39.72076,-82.80925,34000
2025-07-17T14:46:00Z,39.70395,-82.86397,32984
2025-07-17T14:46:30Z,39.68712,-82.91866,31969
2025-07-17T14:47:00Z,39.67027,-82.97332,30953
2025-07-17T14:47:30Z,39.65338,-83.02796,29938
2025-07-17T14:48:00Z,39.63647,-83.08257,28922
2025-07-17T14:48:30Z,39.61954,-83.13715,27906
2025-07-17T14:49:00Z,39.60258,-83.19171,26891
2025-07-17T14:49:30Z,39.58349,-83.24504,25875
2025-07-17T14:50:00Z,39.56400,-83.29812,24859
2025-07-17T14:50:30Z,39.54448,-83.35117,23844
2025-07-17T14:51:00Z,39.52494,-83.40420,22828
2025-07-17T14:51:30Z,39.50537,-83.45719,21812
2025-07-17T14:52:00Z,39.48578,-83.51015,20797
2025-07-17T14:52:30Z,39.46617,-83.56309,19781
2025-07-17T14:53:00Z,39.44653,-83.61599,18766
2025-07-17T14:53:30Z,39.42687,-83.66886,17750
2025-07-17T14:54:00Z,39.40719,-83.72171,16734
2025-07-17T14:54:30Z,39.38748,-83.77452,15719
2025-07-17T14:55:00Z,39.36775,-83.82731,14703
2025-07-17T14:55:30Z,39.34799,-83.88006,13688
2025-07-17T14:56:00Z,39.32821,-83.93279,12672
2025-07-17T14:56:30Z,39.30840,-83.98548,11656
2025-07-17T14:57:00Z,39.28858,-84.03815,10641
2025-07-17T14:57:30Z,39.26873,-84.09078,9625
2025-07-17T14:58:00Z,39.24885,-84.14339,8609
2025-07-17T14:58:30Z,39.22895,-84.19596,7594
2025-07-17T14:59:00Z,39.20903,-84.24851,6578
2025-07-17T14:59:30Z,39.18908,-84.30102,5562
2025-07-17T15:00:00Z,39.16911,-84.35351,4547
2025-07-17T15:00:30Z,39.14912,-84.40597,3531
2025-07-17T15:01:00Z,39.12910,-84.45839,2516
2025-07-17T15:01:30Z,39.10906,-84.51079,1500
2025-07-17T15:02:00Z,39.08900,-84.56316,1299
2025-07-17T15:02:30Z,39.06891,-84.61549,1097
2025-07-17T15:03:00Z,39.04880,-84.66780,896
